,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2885409,Texas Instruments Inc,TXN,0.33%,Semiconductors,US,---,"$4,989,819,328.65 ","23,149,243"
,2002305,Abbott Laboratories,ABT,0.32%,Health Care Equipment,US,---,"$4,841,829,547.60 ","44,298,532"
,2026082,American Express Co,AXP,0.32%,Consumer Finance,US,---,"$4,820,484,999.33 ","13,687,949"
,2090571,Verizon Communications Inc,VZ,0.32%,Integrated Telecommunication Services,US,---,"$4,782,139,618.20 ","107,415,535"
,2480138,KLA Corp,KLAC,0.32%,Semiconductor Materials & Equipment,US,---,"$4,778,916,784.74 ","3,346,721"
,2831811,AT&T Inc,T,0.31%,Integrated Telecommunication Services,US,---,"$4,733,871,945.79 ","180,613,199"
,2023607,Amgen Inc,AMGN,0.31%,Biotechnology,US,---,"$4,689,761,805.96 ","13,717,567"
,2328915,NextEra Energy Inc,NEE,0.31%,Electric Utilities,US,---,"$4,663,869,399.00 ","53,058,810"
,2108601,Boeing Co/The,BA,0.31%,Aerospace & Defense,US,---,"$4,662,140,451.12 ","19,947,546"
,2871301,Intuitive Surgical Inc,ISRG,0.30%,Health Care Equipment,US,---,"$4,553,606,282.02 ","9,030,991"
,2145084,Amphenol Corp,APH,0.30%,Electronic Components,US,---,"$4,492,745,351.76 ","31,182,297"
,2369174,Gilead Sciences Inc,GILD,0.30%,Biotechnology,US,---,"$4,486,522,943.95 ","31,606,361"
,2779397,Charles Schwab Corp/The,SCHW,0.29%,Investment Banking & Brokerage,US,---,"$4,421,973,807.12 ","42,551,711"
,2989301,TJX Cos Inc/The,TJX,0.28%,Apparel Retail,US,---,"$4,247,850,565.20 ","28,354,920"
,BK6N347,Uber Technologies Inc,UBER,0.28%,Passenger Ground Transportation,US,---,"$4,237,522,397.25 ","52,935,945"
,BYV2325,S&P Global Inc,SPGI,0.28%,Financial Exchanges & Data,US,---,"$4,168,016,742.48 ","7,897,112"
,B4BNMY3,Accenture PLC,ACN,0.28%,IT Consulting & Other Services,US,---,"$4,164,887,436.84 ","15,797,631"
,2714923,QUALCOMM Inc,QCOM,0.27%,Semiconductors,US,---,"$4,136,065,692.45 ","27,284,555"
