etf,holding_name,ticker,weight
VOO,PUBLIC STORAGE,PSA,0.0007000000000000001
VOO,REPUBLIC SERVICES INC,RSG,0.0007000000000000001
VOO,YUM! BRANDS INC,YUM,0.0007000000000000001
VOO,TARGA RESOURCES CORP,TRGP,0.0007000000000000001
VOO,ENTERGY CORP,ETR,0.0007000000000000001
VOO,DELTA AIR LINES INC,DAL,0.0007000000000000001
VOO,DATADOG INC,DDOG,0.0007000000000000001
VOO,EBAY INC,EBAY,0.0007000000000000001
VOO,PUBLIC SERVICE ENTERPRISE GROUP INC,PEG,0.0007000000000000001
VOO,MICROCHIP TECHNOLOGY INC,MCHP,0.0007000000000000001
VOO,DR HORTON INC,DHI,0.0007000000000000001
VOO,NUCOR CORP,NUE,0.0007000000000000001
VOO,AMERICAN INTERNATIONAL GROUP INC,AIG,0.0007000000000000001
VOO,SYSCO CORP,SYY,0.0007000000000000001
VOO,COMFORT SYSTEMS USA INC,FIX,0.0007000000000000001
VOO,ROPER TECHNOLOGIES INC,ROP,0.0007000000000000001
VOO,VULCAN MATERIALS CO,VMC,0.0007000000000000001
VOO,COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH,0.0007000000000000001
VOO,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,WAB,0.0007000000000000001
VOO,MARTIN MARIETTA MATERIALS INC,MLM,0.0007000000000000001
VOO,IQVIA HOLDINGS INC,IQV,0.0007000000000000001
VOO,PRUDENTIAL FINANCIAL INC,PRU,0.0007000000000000001
VOO,CONSOLIDATED EDISON INC,ED,0.0006
VOO,TAKE-TWO INTERACTIVE SOFTWARE INC,TTWO,0.0006
VOO,AXON ENTERPRISE INC,AXON,0.0006
VOO,WORKDAY INC,WDAY,0.0006
VOO,AGILENT TECHNOLOGIES INC,A,0.0006
VOO,CROWN CASTLE INC,CCI,0.0006
VOO,TERADYNE INC,TER,0.0006
VOO,RESMED INC,RMD,0.0006
VOO,HARTFORD INSURANCE GROUP INC/THE,HIG,0.0006
VOO,KEURIG DR PEPPER INC,KDP,0.0006
VOO,KEYSIGHT TECHNOLOGIES INC,KEYS,0.0006
VOO,STATE STREET CORP,STT,0.0006
VOO,VENTAS INC,VTR,0.0006
VOO,COPART INC,CPRT,0.0006
VOO,EQT CORP,EQT,0.0006
VOO,WEC ENERGY GROUP INC,WEC,0.0006
VOO,GE HEALTHCARE TECHNOLOGIES INC,GEHC,0.0006
VOO,KROGER CO/THE,KR,0.0006
VOO,HUNTINGTON BANCSHARES INC/OH,HBAN,0.0006
VOO,ARCH CAPITAL GROUP LTD,ACGL,0.0006
VOO,FAIR ISAAC CORP,FICO,0.0006
VOO,DELL TECHNOLOGIES INC,DELL,0.0006
VOO,FISERV INC,FISV,0.0006
VOO,M&T BANK CORP,MTB,0.0006
VOO,PG&E CORP,PCG,0.0006
VOO,XYLEM INC/NY,XYL,0.0006
VOO,PAYCHEX INC,PAYX,0.0006
VOO,INTERACTIVE BROKERS GROUP INC,IBKR,0.0006
VOO,KENVUE INC,KVUE,0.0006
VOO,OTIS WORLDWIDE CORP,OTIS,0.0006
VOO,KIMBERLY-CLARK CORP,KMB,0.0006
VOO,UNITED AIRLINES HOLDINGS INC,UAL,0.0006
VOO,BLOCK INC,XYZ,0.0006
VOO,GARMIN LTD,GRMN,0.0006
VOO,OCCIDENTAL PETROLEUM CORP,OXY,0.0006
VOO,CARNIVAL CORP,CCL,0.0005
VOO,ARCHER-DANIELS-MIDLAND CO,ADM,0.0005
VOO,EMCOR GROUP INC,EME,0.0005
VOO,OLD DOMINION FREIGHT LINE INC,ODFL,0.0005
VOO,DOLLAR GENERAL CORP,DG,0.0005
VOO,EXPEDIA GROUP INC,EXPE,0.0005
VOO,INGERSOLL RAND INC,IR,0.0005
VOO,ARES MANAGEMENT CORP,ARES,0.0005
VOO,DIAMONDBACK ENERGY INC,FANG,0.0005
VOO,WILLIS TOWERS WATSON PLC,WTW,0.0005
VOO,VERISK ANALYTICS INC,VRSK,0.0005
VOO,EXTRA SPACE STORAGE INC,EXR,0.0005
VOO,NRG ENERGY INC,NRG,0.0005
VOO,RAYMOND JAMES FINANCIAL INC,RJF,0.0005
VOO,TELEDYNE TECHNOLOGIES INC,TDY,0.0005
VOO,ULTA BEAUTY INC,ULTA,0.0005
VOO,HERSHEY CO/THE,HSY,0.0005
VOO,FIDELITY NATIONAL INFORMATION SERVICES INC,FIS,0.0005
VOO,DEXCOM INC,DXCM,0.0005
VOO,HEWLETT PACKARD ENTERPRISE CO,HPE,0.0005
VOO,ESTEE LAUDER COS INC/THE,EL,0.0005
VOO,NORTHERN TRUST CORP,NTRS,0.0005
VOO,HALLIBURTON CO,HAL,0.0005
VOO,METTLER-TOLEDO INTERNATIONAL INC,MTD,0.0005
VOO,AMEREN CORP,AEE,0.0005
VOO,DTE ENERGY CO,DTE,0.0005
VOO,VICI PROPERTIES INC,VICI,0.0005
VOO,CBOE GLOBAL MARKETS INC,CBOE,0.0005
VOO,DOVER CORP,DOV,0.0005
VOO,IRON MOUNTAIN INC,IRM,0.0005
VOO,CITIZENS FINANCIAL GROUP INC,CFG,0.0005
VOO,TRACTOR SUPPLY CO,TSCO,0.0005
VOO,PPL CORP,PPL,0.0005
VOO,EXPAND ENERGY CORP,EXE,0.0005
VOO,ATMOS ENERGY CORP,ATO,0.0004
VOO,BIOGEN INC,BIIB,0.0004
VOO,SYNCHRONY FINANCIAL,SYF,0.0004
VOO,COSTAR GROUP INC,CSGP,0.0004
VOO,TAPESTRY INC,TPR,0.0004
VOO,EVERSOURCE ENERGY,ES,0.0004
VOO,PPG INDUSTRIES INC,PPG,0.0004
VOO,HUBBELL INC,HUBB,0.0004
VOO,CENTERPOINT ENERGY INC,CNP,0.0004
VOO,STERIS PLC,STE,0.0004
VOO,JABIL INC,JBL,0.0004
VOO,DEVON ENERGY CORP,DVN,0.0004
VOO,AMERICAN WATER WORKS CO INC,AWK,0.0004
VOO,AVALONBAY COMMUNITIES INC,AVB,0.0004
VOO,CINCINNATI FINANCIAL CORP,CINF,0.0004
VOO,REGIONS FINANCIAL CORP,RF,0.0004
VOO,WILLIAMS-SONOMA INC,WSM,0.0004
VOO,GENERAL MILLS INC,GIS,0.0004
VOO,EQUIFAX INC,EFX,0.0004
VOO,STEEL DYNAMICS INC,STLD,0.0004
VOO,FIRSTENERGY CORP,FE,0.0004
VOO,VERALTO CORP,VLTO,0.0004
VOO,OMNICOM GROUP INC,OMC,0.0004
VOO,SOUTHWEST AIRLINES CO,LUV,0.0004
VOO,PULTEGROUP INC,PHM,0.0004
VOO,FIRST SOLAR INC,FSLR,0.0004
VOO,ON SEMICONDUCTOR CORP,ON,0.0004
VOO,LEIDOS HOLDINGS INC,LDOS,0.0004
VOO,EDISON INTERNATIONAL,EIX,0.0004
VOO,LENNAR CORP,LEN,0.0004
VOO,HUMANA INC,HUM,0.0004
VOO,DARDEN RESTAURANTS INC,DRI,0.0004
VOO,CHURCH & DWIGHT CO INC,CHD,0.0004
VOO,T ROWE PRICE GROUP INC,TROW,0.0004
VOO,CH ROBINSON WORLDWIDE INC,CHRW,0.0004
VOO,BROADRIDGE FINANCIAL SOLUTIONS INC,BR,0.0004
