holding_name,portfolio_weight
GOLDMAN SACHS GROUP INC,0.00116006
WELLS FARGO + CO,0.001158245
DANAHER CORP,0.00115234
GOLDMAN SACHS GROUP INC/THE,0.00115
BEST BUY INC,0.00115
FASTENAL CO,0.0011487525
CAPITAL ONE FINANCIAL CORP,0.0011369825
IDEXX LABORATORIES INC,0.0011103624999999999
AUTODESK INC,0.0011037900000000001
MEDTRONIC PLC,0.0011036775000000001
EXELON CORP,0.0010805675
NEWMONT CORP,0.00107574
ELECTRONIC ARTS INC,0.00106698
STRYKER CORP,0.0010629799999999998
OVINTIV INC,0.00105
XCEL ENERGY INC,0.0010499225
BOSTON SCIENTIFIC CORP,0.0010443825000000001
PROLOGIS INC,0.0010421475
INTL BUSINESS MACHINES CORP,0.0010372575000000001
MCDONALD S CORP,0.0010111375
UNUM,0.001
CHUBB LTD,0.0009959875
APA CORP,0.000965875
SERVICENOW INC,0.0009587249999999999
MCDONALD'S CORP,0.00095
MICROCHIP TECHNOLOGY INC,0.0009328625
AIRBNB INC,0.000925
MARVELL TECHNOLOGY INC,0.000925
CME GROUP INC,0.0009155575
MCKESSON CORP,0.00090901
DIAMONDBACK ENERGY INC,0.0009084875
PDD HOLDINGS INC,0.0009
SKYWORKS SOLUTIONS INC,0.000888145
KEURIG DR PEPPER INC,0.0008735075000000001
AT+T INC,0.000872885
SOUTHERN CO/THE,0.0008611199999999999
BLACKSTONE INC,0.0008597525
PAYPAL HOLDINGS INC,0.0008565350000000001
COLUMBIA BANKING SYSTEM INC,0.00085
TRANE TECHNOLOGIES PLC,0.00083709
HF SINCLAIR CORP,0.000825
CVS HEALTH CORP,0.0008229225
DUKE ENERGY CORP,0.0008153375
AMERICAN FINANCIAL GROUP INC,0.0008
