entity_type,entity_name,hhi,effective_holdings,top10_share,top20_share,top50_share
ETF,SPY,0.019939270675104398,50.15228572269553,0.3701905,0.46844018,0.61130348
ETF,VOO,0.020743750000000005,48.2072913528171,0.3835,0.47659999999999997,0.6175999999999999
ETF,QQQ,0.03128137000000001,31.967909333894255,0.4738,0.6494,0.8672
ETF,SCHD,0.029258529999999998,34.17806704574701,0.422,0.7111,0.9539
PORTFOLIO,CUSTOM_PORTFOLIO,0.014165992686819026,70.59159369258083,0.2837281425,0.40779104750000006,0.606095365
